2018/10/12 | 13:02:58 | 13:07:42 | 00:04:44 | OUT_O | 79514882403 | 79025167525 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/13 | 14:05:32 | 14:36:54 | 00:31:22 | IN_I | 79527916822 | 79849599301 | "Red" | 11 | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/12 | 20:54:10 | 21:43:37 | 00:49:27 | IN_O | 79524420362 | 79735268669 | "Yellow" | 15 | Климова Ольга Леонидовна | Россия, Архангельская область, Няндома, Московская, 82, 37
2018/10/11 | 22:18:10 | 22:25:28 | 00:07:18 | OUT_I | 79858836101 | 79066910678 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/12 | 05:32:51 | 06:14:59 | 00:42:08 | OUT_O | 79074925635 | 79412389725 | "Green" | 8 | Щукин Борис Григорьевич | Россия, Челябинская область, Златоуст, Бабикова, 63, 5
2018/10/11 | 15:00:11 | 15:02:15 | 00:02:04 | OUT_I | 79514882403 | 79024163724 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/05 | 11:08:14 | 12:08:54 | 01:00:40 | IN_O | 79527916822 | 79849594332 | "Red" | 11 | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/07 | 08:24:17 | 08:50:29 | 00:26:12 | OUT_O | 79524420362 | 79112497234 | "Yellow" | 15 | Климова Ольга Леонидовна | Россия, Архангельская область, Няндома, Московская, 82, 37
2018/10/07 | 12:08:04 | 12:50:41 | 00:42:37 | OUT_I | 79524420362 | 79112497234 | "Yellow" | 15 | Климова Ольга Леонидовна | Россия, Архангельская область, Няндома, Московская, 82, 37
2018/10/05 | 11:08:14 | 12:08:54 | 01:00:40 | IN_O | 79527916822 | 79849594332 | "Red" |  | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/01 | 20:06:10 | 20:54:33 | 00:48:23 | IN_O | 79858836101 | 79012469722 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/01 | 08:24:17 | 08:24:47 | 00:00:30 | OUT_O | 79524420362 | 79112497234 |  | 15 | Климова Ольга Леонидовна | Россия, Архангельская область, Няндома, Московская, 82, 37
2018/10/06 | 10:05:02 | 10:12:25 | 00:07:23 | OUT_I | 79074925635 | 79794262417 | "Green" | 8 | Щукин Борис Григорьевич | Россия, Челябинская область, Магнитогорск, Бабикова, 173, 24
2018/10/12 | 13:15:13 | 13:37:48 | 00:22:35 | IN_O | 79514882403 | 79025478845 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/04 | 20:05:49 | 20:45:49 | 00:40:00 | IN_I | 79527916822 | 79849758301 | "Red" | 11 | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/08 | 19:06:10 | 19:37:33 | 00:31:23 | OUT_I | 79858836101 | 79012469722 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/06 | 09:42:02 | 10:00:19 | 00:18:17 | OUT_O | 79074925635 | 79794262451 | "Green" | 8 | Щукин Борис Григорьевич | Россия, Челябинская область, Магнитогорск, Бабикова, 173, 24
2018/10/04 | 18:12:10 | 18:15:47 | 00:03:37 |  | 79858836101 | 79012469722 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/10 | 13:12:00 | 13:32:50 | 00:20:40 | IN_I | 79514882403 | 79025167525 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/14 | 17:20:34 | 18:19:54 | 00:59:20 | OUT_I | 79527916822 | 79849599301 | "Red" | 11 | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/08 | 21:54:10 | 22:54:10 | 01:00:00 | OUT_I | 79524420362 | 79735268669 | "Yellow" | 15 | Климова Ольга Леонидовна | Россия, Архангельская область, Няндома, Московская, 82, 37
2018/10/09 | 23:18:14 | 23:35:28 | 00:17:14 | IN_O | 79858836101 | 79066910678 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/11 | 06:07:58 | 08:14:59 | 02:07:01 | OUT_I | 79074925635 | 79412389725 | "Green" | 8 | Щукин Борис Григорьевич | Россия, Челябинская область, Златоуст, Бабикова, 63, 5
2018/10/11 | 15:10:10 | 15:47:45 | 00:37:35 | IN_I | 79514882403 | 79024163724 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/02 | 12:10:44 | 12:52:54 | 00:42:10 | OUT_O | 79527916822 | 79849594332 | "Red" | 11 | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/01 | 08:24:17 | 08:24:47 | 00:00:30 | OUT_O | 79524420362 | 79112497234 | "Yellow" | 15 | Климова Ольга Леонидовна | Россия, Архангельская область, Няндома, Московская, 82, 37
2018/10/03 | 09:08:04 | 10:50:41 | 01:42:37 | IN_O | 79524420362 | 79112497234 | "Yellow" | 15 | Климова Ольга Леонидовна | Россия, Архангельская область, Няндома, Московская, 82, 37
2018/10/04 | 18:12:10 | 18:15:47 | 00:03:37 | OUT_I | 79858836101 | 79012469722 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/04 | 13:07:09 | 13:20:09 | 00:13:00 | OUT_O | 79074925635 | 79794262417 | "Green" | 8 | Щукин Борис Григорьевич | Россия, Челябинская область, Магнитогорск, Бабикова, 173, 24
2018/10/11 | 06:07:58 | 08:14:59 | 02:07:01 | OUT_I | 79074925635 | 79412389725 | "Green" | 8 | Щукин Борис Григорьевич | 
2018/10/08 | 13:02:58 | 13:37:48 | 00:34:50 | OUT_O | 79514882403 | 79025478845 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/05 | 20:49:49 | 20:57:57 | 00:08:08 | OUT_O | 79527916822 | 79849758301 | "Red" | 11 | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/06 | 23:02:15 | 23:39:36 | 00:37:21 | OUT_O | 79858836101 | 79012469722 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/09 | 01:05:02 | 02:07:25 | 01:02:23 | IN_O | 79074925635 | 79794262451 | "Green" | 8 | Щукин Борис Григорьевич | Россия, Челябинская область, Магнитогорск, Бабикова, 173, 24
2018/10/09 | 15:06:58 | 15:36:59 | 00:30:01 | IN_I | 79514882403 | 79025167525 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/11 | 16:12:41 | 16:29:52 | 00:17:11 | IN_O | 79527916822 | 79849599301 | "Red" | 11 | Будько Иван Степанович | Россия, Московская область, Москва, Гагарина, 169, 52
2018/10/10 | 04:04:04 | 04:05:05 | 00:01:01 | OUT_I | 79514882403 | 79735268669 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/01 | 03:03:03 | 03:33:33 | 00:30:30 | OUT_O | 79514882403 | 79735268669 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
2018/10/06 |  | 23:39:36 | 00:37:21 | OUT_O | 79858836101 | 79012469722 | "Blue" | 22 | Алуфьева Мария Наумовна | Россия, Красноярский край, Норильск, Купеческая, 10, 206
2018/10/12 | 22:18:10 | 22:25:28 |  | OUT_I | 79514882403 | 79735268669 | "Black" | 17 | Фёдоров Павел Анатольевич | Россия, Архангельская область, Онега, Малышева, 41, 78
